,Asset,adfuller_const,adfuller_noconst,adfuller_const_trend,adfuller_all
0,Asset1,0.0,0.0,0.0,0.0
1,Asset2,8.04258117317279e-07,1.8372947757631227e-06,3.7108915484316187e-09,0.0
2,Asset3,1.3191781825953764e-22,3.616771862669502e-22,1.9770468084101381e-19,7.096962736116614e-20
3,Asset4,,,,
4,Asset5,8.582489537947069e-30,1.8803461806509095e-28,0.0,7.142392156936836e-25
5,Asset6,0.0,0.0,0.0,0.0
6,Asset7,1.0281555260453787e-29,2.0844561864278666e-28,0.0,7.255120207329598e-25
7,Asset8,4.588205344613823e-16,5.502447631082843e-16,1.1969390312353487e-15,2.2254720829790254e-15
8,Asset9,6.387597638951057e-07,5.202441723001838e-08,7.544920044062983e-06,3.207634571840879e-05
9,Asset10,0.0,0.0,0.0,0.0
10,Asset11,1.3520181553064723e-26,1.0643504130245503e-25,6.27789239316162e-22,1.083995441132792e-24
11,Asset12,0.0,0.0,0.0,0.0
12,Asset13,3.7025191924278845e-30,9.689223991120151e-29,0.0,0.0
13,Asset14,1.3300978237952422e-18,2.053996407834948e-18,2.452964467858883e-16,9.532336258271563e-17
14,Asset15,0.0,0.0,0.0,0.0
15,Asset16,,,,
16,Asset17,0.0,0.0,0.0,0.0
17,Asset18,0.0,0.0,0.0,0.0
18,Asset19,0.0,0.0,0.0,0.0
19,Asset20,0.0,0.0,0.0,0.0
20,Asset21,2.1883797837923702e-27,2.775092140051948e-26,2.8552020869876477e-22,7.429328095643067e-24
21,Asset22,7.842315970280919e-30,1.6145771320200498e-28,0.0,7.1437865975551425e-25
22,Asset23,7.186493596973579e-18,4.241477790235264e-18,6.540903435410771e-16,5.099308775794381e-16
23,Asset24,0.0,0.0,0.0,0.0
24,Asset25,3.5147827027791825e-25,7.910362600853546e-16,3.1171989675287704e-21,3.776954556524914e-22
25,Asset26,1.366363529825235e-20,2.889151243214437e-20,6.432359404469718e-18,5.4379430463819875e-18
26,Asset27,0.0,0.0,0.0,0.0
